Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                 202",3.463939285974e-02,1.829470377278e-01,7.800891860317e-02,1.049381191247e-01,-1.346460026074e-02
"                 203",3.492157682373e-02,1.840067168039e-01,7.843498141022e-02,1.055717353936e-01,-1.356837699171e-02
"                 204",3.514093374436e-02,1.850049830302e-01,7.882859285741e-02,1.061763901728e-01,-1.367389865769e-02
"                 205",3.534891926675e-02,1.860416812768e-01,7.923550373996e-02,1.068061775368e-01,-1.378533689843e-02
"                 206",3.558466702769e-02,1.870869170218e-01,7.965237071399e-02,1.074345463078e-01,-1.389108779688e-02
"                 207",3.591962577591e-02,1.881331543462e-01,8.007089378258e-02,1.080622605636e-01,-1.399568339051e-02
"                 208",3.604085359044e-02,1.890509009353e-01,8.043382376432e-02,1.086170771710e-01,-1.409162670336e-02
"                 209",3.625362408462e-02,1.899192684558e-01,8.078099129277e-02,1.091382771631e-01,-1.417864293515e-02
"                 210",3.643067069833e-02,1.907158886345e-01,8.109739109816e-02,1.096184975363e-01,-1.426055321908e-02
"                 211",3.659457443473e-02,1.915257111405e-01,8.142526253226e-02,1.101004486083e-01,-1.433759303801e-02
"                 212",3.670777182393e-02,1.923069098634e-01,8.174027689436e-02,1.105666329690e-01,-1.441317803732e-02
"                 213",3.688949611688e-02,1.930904762112e-01,8.205966798478e-02,1.110308082264e-01,-1.448557012082e-02
"                 214",3.704050593400e-02,1.938465072016e-01,8.236856269412e-02,1.114779445075e-01,-1.455469090668e-02
"                 215",3.720519179395e-02,1.945395168776e-01,8.265002814554e-02,1.118894887321e-01,-1.461973029326e-02
"                 216",3.734281506321e-02,1.952154740994e-01,8.292789682126e-02,1.122875772781e-01,-1.467984022843e-02
"                 217",3.744032213649e-02,1.958605589137e-01,8.319413432823e-02,1.126664245855e-01,-1.473614512864e-02
"                 218",3.753092061221e-02,1.964816008502e-01,8.345058661032e-02,1.130310142399e-01,-1.479021381479e-02
"                 219",3.763176206873e-02,1.970634805948e-01,8.369234304980e-02,1.133711375450e-01,-1.483939724760e-02
"                 220",3.777440032618e-02,1.976512014679e-01,8.394201700701e-02,1.137091844609e-01,-1.488358372696e-02
"                 221",3.784424353015e-02,1.981609648376e-01,8.415894875917e-02,1.140020160785e-01,-1.492153365965e-02
"                 222",3.790048777567e-02,1.986148656588e-01,8.435578002664e-02,1.142590856322e-01,-1.495165280278e-02
"                 223",3.792662991416e-02,1.989579098470e-01,8.450363855674e-02,1.144542712902e-01,-1.497531636674e-02
"                 224",3.799835071976e-02,1.993093315433e-01,8.465984790090e-02,1.146494836424e-01,-1.499481787074e-02
"                 225",3.800939508410e-02,1.996344999441e-01,8.480185906006e-02,1.148326408841e-01,-1.501539091201e-02
"                 226",3.805283007602e-02,1.999072365914e-01,8.492547018756e-02,1.149817664038e-01,-1.502814810812e-02
"                 227",3.807395818140e-02,2.001408918517e-01,8.502887081036e-02,1.151120210413e-01,-1.504157511549e-02
"                 228",3.807422400320e-02,2.003472239585e-01,8.512088816758e-02,1.152263357909e-01,-1.505272381166e-02
"                 229",3.809470529378e-02,2.005255853928e-01,8.519979819970e-02,1.153257871931e-01,-1.506299449670e-02
"                 230",3.813833924682e-02,2.006756069364e-01,8.526632487812e-02,1.154092820583e-01,-1.507147859010e-02
"                 231",3.818798182476e-02,2.007982959022e-01,8.531995244768e-02,1.154783434545e-01,-1.507919550342e-02
"                 232",3.820664658194e-02,2.009430289930e-01,8.538317066072e-02,1.155598583322e-01,-1.508834383575e-02
"                 233",3.825060709773e-02,2.010411301509e-01,8.542711273544e-02,1.156140174155e-01,-1.509345234000e-02
"                 234",3.826793054768e-02,2.011646585590e-01,8.547952474454e-02,1.156851338144e-01,-1.510280453494e-02
"                 235",3.830707091351e-02,2.012755250973e-01,8.553088113857e-02,1.157446439587e-01,-1.510688141006e-02
"                 236",3.834273366375e-02,2.013701482931e-01,8.557196662673e-02,1.157981816664e-01,-1.511310751981e-02
"                 237",3.836050006839e-02,2.014801920620e-01,8.561942695911e-02,1.158607651028e-01,-1.512066907187e-02
"                 238",3.846966723803e-02,2.015387272316e-01,8.564380510400e-02,1.158949221276e-01,-1.512555851180e-02
"                 239",3.846066059729e-02,2.016059084207e-01,8.566616801573e-02,1.159397404050e-01,-1.513678619461e-02
"                 240",3.854857981807e-02,2.016545143891e-01,8.568359156099e-02,1.159709228281e-01,-1.514366563357e-02
